,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
364,KAL882,WUH,16:00,16:17,16:17
365,ASV702,NRT,16:10,15:48,15:48
366,KAL916,BCN,16:10,16:14,16:14
367,THA634,BKK,16:15,17:04,17:04
368,AAR133,FUK,16:20,16:05,16:05
369,ACA061,YYZ,16:20,15:46,15:46
370,KAL036,ATL,16:20,16:01,16:01
371,CCA801,TSN,16:25,17:38,17:38
372,KAL038,ORD,16:25,16:35,16:35
373,KAL8352,SGN,16:25,17:46,17:46
374,CSN695,DLC,16:30,17:11,17:11
375,DAL159,DTW,16:30,15:56,15:56
376,ETH672,ADD,16:30,16:31,16:31
377,KAL704,NRT,16:30,16:30,16:30
378,KAL820,CSX,16:30,17:15,17:15
379,KAL856,PEK,16:30,16:18,16:18
380,AAR512,BCN,16:35,16:37,16:37
381,CCA125,PEK,16:35,17:20,17:20
382,HVN414,HAN,16:35,16:24,16:24
383,JJA1105,NRT,16:35,18:17,18:17
384,ASV746,YGJ,16:40,16:07,16:07
385,KAL020,SEA,16:40,16:15,16:15
386,KAL092,BOS,16:45,16:55,16:55
387,KAL898,PVG,16:45,18:14,18:14
388,JJA1703,MYJ,16:50,16:42,16:42
389,KAL094,IAD,16:50,16:22,16:22
390,KAL692,TPE,16:50,17:23,17:23
391,KAL808,XIY,16:50,16:26,16:26
392,AAR702,MNL,16:55,16:55,16:55
393,KAL032,DFW,16:55,16:11,16:11
394,KAL870,DLC,16:55,16:57,16:57
395,QTR858,DOH,16:55,17:08,17:08
396,UAE322,DXB,16:55,17:37,17:28
397,AAR348,XIY,17:00,16:39,16:39
398,AAR354,CKG,17:00,16:52,16:52
399,AAR712,TPE,17:00,16:58,16:58
400,KAL982,VVO,17:00,17:07,17:07
401,AAR370,CAN,17:05,17:35,17:35
402,DAL171,MSP,17:05,17:09,17:09
403,KAL604,HKG,17:05,17:02,17:02
404,AAR231,HNL,17:10,16:33,16:33
405,KAL766,CTS,17:15,16:53,16:53
406,KAL866,CAN,17:15,18:59,18:59
