,label,1hour_prediction
329,34.0,37.05567521051557
330,43.0,37.74940936642127
331,27.0,27.57765142440471
332,26.0,26.054179445204674
333,34.0,29.867548048327496
334,22.0,20.77207548129266
335,10.0,6.356466283980456
336,3.0,4.340683916157224
337,1.0,1.0486046930445212
338,0.0,1.0183638144403218
339,2.0,2.7574237824181274
340,16.0,19.33856131587469
341,30.0,29.773155984788108
342,34.0,32.789932032483016
343,31.0,28.727563946299025
344,26.0,25.57416921365911
345,18.0,18.335193319393092
346,16.0,16.29747385676504
347,29.0,30.27035635196199
348,25.0,26.39705345271717
349,23.0,23.861340588729703
350,30.0,27.05793938836875
351,31.0,32.61075193446518
352,38.0,39.94506301541048
353,41.0,40.05067442622412
354,34.0,29.746554539024697
355,27.0,26.832047274681706
356,23.0,26.35612752235524
357,25.0,23.295363593145655
358,20.0,17.736666084148407
359,7.0,5.407465142408648
360,5.0,2.8863636614766164
361,1.0,2.2689065797873345
362,0.0,1.1653434891257692
363,3.0,3.022885223676961
364,22.0,21.22753022968069
365,35.0,32.58753577527653
366,33.0,31.75609527022722
367,26.0,26.053940246836852
368,23.0,27.409631399461404
369,24.0,20.23338692109281
370,17.0,18.95454621052566
371,26.0,28.605968807829196
372,22.0,23.090007447304572
373,26.0,23.346115097499545
374,18.0,22.02606817255742
375,30.0,30.104626156110932
376,36.0,36.85789811040756
377,40.0,38.63809727711911
378,35.0,32.192330078854965
379,30.0,29.48296148311312
380,26.0,24.85483951701727
381,23.0,24.196772638864758
382,16.0,17.720533120014117
383,3.0,4.66828389162659
384,4.0,3.5774637673955234
385,0.0,1.6166062012587643
386,1.0,1.3391676281894158
387,1.0,3.0193343122735157
388,24.0,20.25747690592276
389,30.0,30.211886009087632
390,31.0,31.150011259055148
391,34.0,31.988859936819512
392,27.0,23.88695602937509
393,16.0,18.22182714935983
394,15.0,18.582603975741844
395,33.0,32.40061422823456
396,26.0,28.65018160655898
397,23.0,24.58975286249994
398,26.0,26.257615243374854
399,34.0,34.39929521501785
400,41.0,38.65228749804235
401,42.0,39.80778666648505
402,31.0,29.882900723313696
403,24.0,27.019246392432713
404,29.0,29.08886861795768
405,23.0,25.059182915080815
406,22.0,18.895016154635837
407,7.0,5.067597627822323
408,4.0,3.7351610099001347
409,0.0,1.7267687252410064
410,1.0,1.6234066047088838
411,3.0,4.256710134481165
412,21.0,21.25662802393297
413,28.0,29.24806318262417
414,32.0,32.55288946091646
415,36.0,33.9818871135221
416,28.0,24.952653194095962
417,21.0,20.995484589832603
418,21.0,20.15020143398804
419,34.0,31.00189802326573
420,20.0,22.52150115461536
421,26.0,25.776847748976603
422,28.0,28.227193142874086
423,32.0,32.85837642249538
424,39.0,38.90762432786716
425,41.0,39.65731736584974
426,35.0,31.748733663269388
427,29.0,27.72364295123252
428,26.0,26.38552917190742
429,19.0,22.032528493850446
430,19.0,18.16503670726702
431,5.0,4.870585004997135
432,4.0,3.627313865267258
433,2.0,2.3121555189340093
434,2.0,1.298277837107235
