,label,1hour_prediction,label,2hour_prediction
473,40.0,38.553,31.0,30.924
474,31.0,30.777,25.0,25.161
475,25.0,25.532,26.0,26.741
476,26.0,26.638,22.0,22.389
477,22.0,22.834,20.0,19.423
478,20.0,19.678,4.0,4.868
479,4.0,4.681,5.0,4.817
480,5.0,4.568,0.0,0.434
481,0.0,0.449,1.0,1.094
482,1.0,1.216,4.0,3.343
483,4.0,3.64,19.0,20.644
484,19.0,19.513,33.0,32.295
485,33.0,32.0,32.0,31.413
486,32.0,32.043,28.0,28.886
487,28.0,28.673,27.0,26.683
488,27.0,26.519,26.0,24.036
489,26.0,23.479,18.0,18.633
490,18.0,18.752,35.0,34.9
491,35.0,34.807,30.0,28.705
492,30.0,28.687,21.0,22.284
493,21.0,21.948,28.0,28.328
494,28.0,28.349,34.0,33.993
495,34.0,33.934,39.0,38.67
496,39.0,38.521,46.0,43.883
497,46.0,43.766,27.0,28.29
498,27.0,27.986,26.0,26.523
499,26.0,26.637,28.0,27.91
500,28.0,27.649,22.0,23.427
501,22.0,23.693,27.0,25.612
502,27.0,25.533,5.0,5.53
503,5.0,5.37,2.0,2.26
504,2.0,2.484,1.0,0.795
505,1.0,0.954,0.0,0.169
506,0.0,0.114,2.0,2.702
507,2.0,2.338,22.0,21.16
508,22.0,21.31,38.0,35.249
509,38.0,35.639,35.0,32.949
510,35.0,33.459,26.0,27.059
511,26.0,26.857,26.0,26.05
512,26.0,26.065,16.0,16.708
513,16.0,16.695,13.0,14.355
514,13.0,14.446,30.0,29.851
515,30.0,29.621,23.0,23.641
516,23.0,23.593,21.0,22.82
517,21.0,22.973,30.0,29.911
518,30.0,29.76,34.0,33.066
519,34.0,33.259,41.0,40.033
520,41.0,39.363,35.0,36.833
521,35.0,36.171,28.0,27.393
522,28.0,27.846,25.0,25.438
523,25.0,26.029,27.0,26.676
524,27.0,26.722,19.0,19.395
525,19.0,19.823,16.0,17.23
526,16.0,16.996,5.0,5.068
527,5.0,5.198,4.0,4.182
528,4.0,3.946,3.0,2.967
529,3.0,2.679,2.0,1.71
