,label,1hour_prediction,label,2hour_prediction
354,26.0,24.003,34.0,34.791
355,34.0,34.785,31.0,32.917
356,31.0,32.714,31.0,30.29
357,31.0,30.327,29.0,28.184
358,29.0,28.037,21.0,21.866
359,21.0,21.518,10.0,10.253
360,10.0,10.28,5.0,4.533
361,5.0,4.48,5.0,4.995
362,5.0,5.097,2.0,1.952
363,2.0,1.785,0.0,0.253
364,0.0,0.891,4.0,2.163
365,4.0,3.407,8.0,8.558
366,8.0,8.724,23.0,22.929
367,23.0,22.749,38.0,37.199
368,38.0,35.55,33.0,39.523
369,33.0,35.632,40.0,39.958
370,40.0,39.94,31.0,30.842
371,31.0,31.254,29.0,30.288
372,29.0,30.186,33.0,32.316
373,33.0,31.716,30.0,29.947
374,30.0,30.634,28.0,28.395
375,28.0,28.184,25.0,23.977
376,25.0,23.417,17.0,18.218
377,17.0,18.208,21.0,21.056
378,21.0,21.341,35.0,34.401
379,35.0,34.973,31.0,32.168
380,31.0,33.072,30.0,29.606
381,30.0,29.328,31.0,26.752
382,31.0,29.378,23.0,22.963
383,23.0,22.534,7.0,7.056
384,7.0,7.152,6.0,5.156
385,6.0,5.117,3.0,3.643
386,3.0,3.84,1.0,1.538
387,1.0,1.488,2.0,1.969
388,2.0,2.03,1.0,1.6
389,1.0,1.683,7.0,7.177
390,7.0,7.131,25.0,24.401
391,25.0,24.218,33.0,34.079
392,33.0,35.995,41.0,38.602
393,41.0,40.451,37.0,37.051
394,37.0,37.829,34.0,30.316
395,34.0,32.837,32.0,30.32
396,32.0,31.079,36.0,34.383
397,36.0,34.611,31.0,30.927
398,31.0,30.908,27.0,26.989
399,27.0,26.887,26.0,25.746
400,26.0,25.761,21.0,22.015
401,21.0,22.937,25.0,21.823
402,25.0,21.544,35.0,34.356
403,35.0,35.486,39.0,37.624
404,39.0,37.657,29.0,28.604
405,29.0,27.796,29.0,27.86
406,29.0,28.572,21.0,22.247
407,21.0,22.797,16.0,15.944
408,16.0,15.65,2.0,2.758
409,2.0,2.889,7.0,6.166
410,7.0,6.384,0.0,0.254
411,0.0,0.313,0.0,0.335
412,0.0,0.489,2.0,2.477
413,2.0,2.432,9.0,9.355
414,9.0,9.613,23.0,22.304
415,23.0,22.886,36.0,35.872
416,36.0,34.671,42.0,38.888
417,42.0,41.278,41.0,40.337
418,41.0,39.653,28.0,28.668
419,28.0,30.359,30.0,34.138
420,30.0,30.799,32.0,32.742
421,32.0,32.275,32.0,31.234
422,32.0,31.16,28.0,27.877
423,28.0,27.869,29.0,27.341
424,29.0,27.314,21.0,21.364
425,21.0,21.328,14.0,16.852
426,14.0,17.083,32.0,33.634
427,32.0,34.116,43.0,40.097
428,43.0,40.336,28.0,28.283
429,28.0,28.008,29.0,28.854
430,29.0,29.245,27.0,25.318
431,27.0,26.207,15.0,14.564
432,15.0,14.595,3.0,3.256
433,3.0,3.291,6.0,5.46
434,6.0,5.434,1.0,1.31
435,1.0,1.315,2.0,1.911
436,2.0,1.875,3.0,2.635
437,3.0,2.83,8.0,8.386
438,8.0,9.34,25.0,22.875
439,25.0,24.207,33.0,33.193
440,33.0,33.407,43.0,41.37
441,43.0,41.465,38.0,38.42
442,38.0,38.69,29.0,29.857
443,29.0,29.523,28.0,28.569
444,28.0,28.69,36.0,35.084
445,36.0,35.216,31.0,31.055
446,31.0,31.097,28.0,27.78
447,28.0,27.754,25.0,25.28
448,25.0,25.33,23.0,21.929
449,23.0,19.532,22.0,21.214
450,22.0,19.855,37.0,37.808
451,37.0,36.956,39.0,37.614
452,39.0,37.907,25.0,26.319
453,25.0,25.68,25.0,25.624
454,25.0,25.658,22.0,21.348
455,22.0,21.418,12.0,11.713
456,12.0,11.623,5.0,5.035
457,5.0,5.134,5.0,5.018
458,5.0,4.928,2.0,1.823
459,2.0,1.887,1.0,0.956
460,1.0,0.836,4.0,3.401
461,4.0,3.329,6.0,6.79
462,6.0,6.791,24.0,23.869
463,24.0,23.676,39.0,37.888
464,39.0,37.991,39.0,39.353
465,39.0,40.019,44.0,37.816
466,44.0,41.873,30.0,30.292
467,30.0,30.205,21.0,23.628
468,21.0,23.352,35.0,34.391
469,35.0,34.143,31.0,30.13
470,31.0,30.351,26.0,26.54
471,26.0,27.971,26.0,27.952
472,26.0,26.305,26.0,25.388
473,26.0,25.456,16.0,18.271
474,16.0,18.443,40.0,38.311
475,40.0,38.988,35.0,35.629
476,35.0,35.143,31.0,29.987
477,31.0,29.987,26.0,26.49
